Time,Date,AP03AT9002TEMP,AP03AT9002TURB,AP03AT9002CL2,AP03AT9002PH
12:00:58 AM,3/1/2021,20.987625122070313,0.672744631767273,-0.00622238824144,7.791891098022461
12:03:57 AM,3/1/2021,20.887008666992188,0.662444233894348,22.058368682861328,8.546648025512695
12:06:58 AM,3/1/2021,20.660476684570312,0.511609315872192,17.467880249023438,8.453479766845703
12:09:57 AM,3/1/2021,20.568565368652344,0.45087406039238,12.021865844726562,8.333247184753418
12:12:57 AM,3/1/2021,20.532621383666992,0.418347001075745,9.448668479919434,8.254748344421387
12:15:57 AM,3/1/2021,20.512645721435547,0.406032145023346,7.970706462860107,8.198838233947754
12:18:57 AM,3/1/2021,20.503061294555664,0.392682254314423,6.443421363830566,8.13072395324707
12:21:57 AM,3/1/2021,20.484941482543945,0.375560611486435,5.392317771911621,8.073091506958008
12:24:58 AM,3/1/2021,20.47442626953125,0.370661973953247,5.111966133117676,8.055603981018066
12:27:57 AM,3/1/2021,20.473484039306641,0.367464452981949,5.30079984664917,8.057388305664063
12:30:57 AM,3/1/2021,20.465904235839844,0.36807507276535,4.739824771881104,8.027658462524414
12:33:57 AM,3/1/2021,20.4447021484375,0.365683317184448,4.303133964538574,7.997962951660156
12:36:57 AM,3/1/2021,20.442438125610352,0.363323390483856,4.046442031860352,7.982256889343262
12:39:57 AM,3/1/2021,20.438514709472656,0.36084246635437,3.858761310577393,7.964767456054688
12:42:57 AM,3/1/2021,20.428413391113281,0.360144644975662,3.631292104721069,7.94909143447876
12:45:57 AM,3/1/2021,20.418798446655273,0.35987851023674,3.387649297714233,7.92985200881958
12:48:57 AM,3/1/2021,20.41697883605957,0.357943415641785,3.132301092147827,7.908894538879395
12:51:57 AM,3/1/2021,20.405229568481445,0.354537308216095,2.942924737930298,7.893152236938477
12:54:57 AM,3/1/2021,20.40794563293457,0.349968880414963,2.682136535644531,7.870413780212402
12:57:58 AM,3/1/2021,20.405279159545898,0.347616523504257,2.46724271774292,7.852922916412354
1:00:58 AM,3/1/2021,20.400381088256836,0.346839100122452,2.380762577056885,7.842456817626953
1:03:57 AM,3/1/2021,20.389778137207031,0.34826123714447,2.370630502700806,7.842485427856445
1:06:57 AM,3/1/2021,20.383548736572266,0.350607484579086,2.305906534194946,7.833767890930176
1:09:57 AM,3/1/2021,20.374919891357422,0.355161756277084,2.233708620071411,7.826770782470703
1:12:57 AM,3/1/2021,20.374656677246094,0.359923750162125,2.276118278503418,7.830297470092773
1:15:57 AM,3/1/2021,20.370586395263672,0.363251835107803,2.214827537536621,7.82504940032959
1:18:58 AM,3/1/2021,20.356996536254883,0.366374909877777,2.185328960418701,7.818079948425293
1:21:57 AM,3/1/2021,20.354917526245117,0.368747144937515,2.158820629119873,7.816358089447022
1:24:57 AM,3/1/2021,20.344953536987305,0.37399286031723,2.129886865615845,7.812887191772461
1:27:57 AM,3/1/2021,20.347660064697266,0.375632107257843,1.836792349815369,7.791892528533936
1:30:57 AM,3/1/2021,20.342649459838867,0.375930309295654,1.672048926353455,7.777896404266357
1:33:57 AM,3/1/2021,20.326887130737305,0.375889003276825,1.556084156036377,7.767425537109375
1:36:58 AM,3/1/2021,20.332527160644531,0.378243446350098,1.551833152770996,7.767425537109375
1:39:57 AM,3/1/2021,20.318044662475586,0.380026996135712,1.473000526428223,7.763952255249023
1:42:58 AM,3/1/2021,20.319147109985352,0.381736069917679,1.438474178314209,7.758703231811523
1:45:57 AM,3/1/2021,20.309591293334961,0.384067356586456,1.438184380531311,7.758728981018066
1:48:57 AM,3/1/2021,20.299892425537109,0.389703422784805,1.418076753616333,7.757005214691162
1:51:57 AM,3/1/2021,20.303312301635742,0.391922652721405,1.369333386421204,7.755255222320557
1:54:58 AM,3/1/2021,20.277194976806641,0.396873354911804,1.372103571891785,7.753556728363037
1:57:57 AM,3/1/2021,20.274375915527344,0.400143593549728,1.362796187400818,7.751832485198975
2:00:57 AM,3/1/2021,20.266338348388672,0.405320823192596,1.369165897369385,7.751858234405518
2:03:57 AM,3/1/2021,20.251264572143555,0.411618322134018,1.32226574420929,7.748383522033691
2:06:58 AM,3/1/2021,20.245279312133789,0.416691690683365,1.303898096084595,7.744883537292481
2:09:58 AM,3/1/2021,20.228410720825195,0.423410981893539,1.302277684211731,7.74493408203125
2:12:57 AM,3/1/2021,20.214328765869141,0.431894302368164,1.281272649765015,7.746709823608398
2:15:57 AM,3/1/2021,20.207038879394531,0.439263731241226,1.285046815872192,7.746735095977783
2:18:57 AM,3/1/2021,20.199562072753906,0.449150025844574,1.27140736579895,7.746786117553711
2:21:58 AM,3/1/2021,20.18122673034668,0.461937546730042,1.250338315963745,7.745060920715332
2:24:57 AM,3/1/2021,20.17082405090332,0.480711728334427,1.250155210494995,7.745086193084717
2:27:57 AM,3/1/2021,20.159778594970703,0.485272228717804,1.2338947057724,7.745137214660645
2:30:58 AM,3/1/2021,20.16950798034668,0.493707299232483,1.204391956329346,7.745111465454102
2:33:57 AM,3/1/2021,20.13848876953125,0.505640387535095,1.184452056884766,7.743412017822266
2:36:57 AM,3/1/2021,20.127357482910156,0.52274090051651,1.17578136920929,7.743462562561035
2:39:57 AM,3/1/2021,20.119997024536133,0.538398385047913,1.173826098442078,7.74348783493042
2:42:58 AM,3/1/2021,20.089160919189453,0.556099891662598,1.13833224773407,7.74353837966919
2:45:57 AM,3/1/2021,20.08050537109375,0.577794790267944,1.140158414840698,7.745314598083496
2:48:58 AM,3/1/2021,20.071165084838867,0.588751792907715,1.123558640480042,7.743588924407959
